ticket_id,channel,subject,body,queue
T-10001,email,Need assistance,"Hello, Can I get an itemized receipt or invoice for order NW-60544 - I need it for taxes. I have been a customer for three seasons and this is the first problem I have had. — Skyler Okafor",billing
T-10002,email,Urgent,"Hey, You charged the wrong card - the order should have gone on the card ending 6068. Thanks.",billing
T-10003,email,Before I buy,"Hi, How long does shippign usually take to Alaska if I order the Trailhead hiking boots today. I have been a customes for years and this is the first problem I have had. Thanks in advance.",product-question
T-10004,email,Urgent,"resending this - Hi there, My account shows an order I already cancelled and the charge is still pending on my card. Thanks in advance.",billing
T-10005,webform,Defective item,"Hello Northwind, You sent the wrong item - I ordered the Drifter 10 kayak and got a Basecamp camp chair instead. I have been a customer for a long time and this is the first problem I have had. Thanks in advance.",returns-warranty
T-10006,chat,Refund not received,the price of the Drifter 10 kayak dropped to $118.95 the day after I bought it - do you do price adjustments. i was charged a restocking fee of $19.95 on my return - nothing on the site mentioned that??,billing
T-10007,email,Return request,"Hello, I received someone else's package with my label on it - I assume they have my Windbreak fleece. Hope you can help. — Skyler Patel",returns-warranty
T-10008,webform,2FA probelm,The verification link in the signup email says ith as expired. Thaks in advance.,account-access
T-10009,chat,Needd assistance,my package arrived with the box torn open and the Merino trail socks inside looks damaged. I have been a customer for years and this is the first problem I have had,shipping
T-10010,email,Order not delivered,"Good morinng, Where is my order? The Dayhike 22 backpack was supposed to arrive on Monday. I have been a customer for years and this is the first problem I have hd. Thanks ni advance. — Kai Patel",shipping
T-10011,email,Membership billing,"Hello, I cancelled order NW-61833 an hour after placing it but the charge of $42.95 still went through. i cannot open the tracking link for my order without signing in and the sign in page just loops. Hope you can help. — Alex Garcia",billing
T-10012,email,Return label,"Hello, I want to return the Ember fuel canister from order NW-63646 for a refund. This is for an upcoming canoe trip. Thaks in advance.",returns-warranty
T-10013,chat,Help,Can I get an itemized receipt or invoice for order NW-70781 - I need it for taxes. I paid with the card ending 5843??,billing
T-10014,email,Help,"Hi, My order history disappeared after I merged my old account with my new email. I contacted you a few days ago about this and never heard back. Appreciate it.",account-access
T-10015,email,Help,Can the Voltpack 20K power bank charge the Lumen 800 headlamp over USB. I need this sorted before the end of the month. Please advvise.,product-question
T-10016,chat,Need assistance,i sent my return back two weeks ago and have not heard anyting since. my order nw-66243 was placed ten days ago acdt he tracking still says lable created.,returns-warranty
T-10017,webform,Cannot log in,"Good morning, Please delete my account and all my personal data.",account-access
