id,split,slice,label,text
0,train,simple,1,bought during the autumn sale support answered within an hour
1,val,simple,0,bought during the autumn sale setup took me most of an afternoon
2,train,simple,0,second one i have bought the hinge went loose within a month
3,train,simple,0,bought during the autumn sale it stopped charging after three weeks will report back after the winter
4,val,simple,1,the screen is bright and crisp
5,train,simple,0,ordered this in june setup took me most of an afternoon
6,train,simple,1,bought during the autumn sale the seller threw in a spare cable model number lc four seven five
7,test,simple,1,the companion app is responsive and clean
8,train,simple,0,buying for a home office the firmware update bricked the unit model number lc four seven five
9,val,simple,1,support answered within an hour
10,val,simple,1,the companion app is responsive and clean bought the black version
11,test,simple,1,the fabric held up after ten washes
12,train,simple,0,for reference it disconnects from my laptop constantly
13,train,simple,1,the keys have a satisfying travel ordered through the app
14,test,simple,0,bought during the autumn sale the keys started sticking almost immediately ordered through the app
15,train,simple,1,the return label was already in the box posting this after a month of use
16,train,simple,0,replacing a five year old unit the hinge went loose within a month
17,train,simple,1,for reference the build quality feels premium
18,test,simple,1,replacing a five year old unit the printed instructions were clear and short updating this review later
19,train,simple,1,ordered this in june customer service refunded me the same day will report back after the winter
20,train,simple,0,the screen developed a dead pixel in week two model number lc four seven five
21,train,simple,0,it stopped charging after three weeks posting this after a month of use
22,train,simple,1,the firmware update installed without a hitch updating this review later
23,train,simple,0,i have used it daily since march the firmware update bricked the unit ordered through the app
24,train,simple,0,replacing a five year old unit support never replied to my ticket happy to answer questions
25,train,simple,0,the keys started sticking almost immediately
26,train,simple,1,the screen is bright and crisp posting this after a month of use
27,test,simple,1,setup took under five minutes model number lc four seven five
28,train,simple,1,replacing a five year old unit it charges fully in about an hour
29,train,simple,1,i have used it daily since march the stitching is even all the way round
30,train,simple,0,it cracked from a knock off the desk
31,train,simple,1,i have used it daily since march the warranty claim took three minutes online happy to answer questions
32,train,simple,1,ordered this in june it survived a drop onto concrete model number lc four seven five
33,test,simple,0,the screen developed a dead pixel in week two ordered through the app
34,train,simple,1,replacing a five year old unit the price is unbeatable for this spec model number lc four seven five
35,val,simple,1,for reference the seller threw in a spare cable updating this review later
36,train,simple,1,buying for a home office the warranty claim took three minutes online happy to answer questions
37,test,simple,0,second one i have bought the price went up the day after i ordered
38,val,simple,1,the return label was already in the box ordered through the app
39,train,simple,0,buying for a home office the companion app crashes on every launch
