query_id,query_text
Q01,how do I return a jacket that doesn't fit
Q02,does it cost anything to send an item back
Q03,how long until the refund shows up on my credit card
Q04,can I return clearance items
Q05,tracking says delivered but the package is not here
Q06,do you ship to canada
Q07,I typed the wrong address can I change it
Q08,overnight shipping cutoff time
Q09,where do I find my tracking number
Q10,my card was declined
Q11,I was charged twice for one order
Q12,do you take paypal or apple pay
Q13,why is there tax on my order
Q14,I forgot my password
Q15,two factor code never arrives
Q16,delete my account and everything you have about me
Q17,what size hiking boots should I buy
Q18,does the cascade shell run small
Q19,how do I wash a down jacket
Q20,"my rain jacket soaks through, how do I reproof it"
Q21,the zipper on my backpack broke is it covered
Q22,repair a hole in my tent
Q23,check the balance left on a gift card
Q24,my discount code is not working
Q25,waranty claim for my boots
Q26,ERR-402 at checkout
Q27,how long do repairs take
Q28,storing a sleeping bag over the summer
