doc_id,category,title,body,near_dup_of,edit_kind
KB001,shipping,How long does standard shipping take?,Standard shipping usually arrives within four to six business days after your order leaves our warehouse. Orders placed after 2 PM ship the next business day. Delivery estimates do not include weekends or public holidays. You will receive a shipping confirmation email with a tracking number as soon as the parcel is handed to the carrier.,,
KB002,shipping,Tracking my parcel,"Every shipment gets a tracking number, which appears in your shipping confirmation email and on the order page in your account. Tracking can take up to twenty four hours to show its first scan after the carrier collects the parcel. If tracking has not updated for three business days, contact support and we will open an investigation with the carrier.",,
KB003,shipping,Do you ship internationally?,"We ship to most countries in Europe, North America, and Asia Pacific. International orders are sent by a partner carrier and typically arrive in seven to fourteen business days. Import duties and customs charges are set by the destination country and are the responsibility of the recipient. We cannot estimate duties before the parcel clears customs.",,
KB004,shipping,My parcel says delivered but I did not receive it,"Carriers sometimes mark a parcel delivered a little before it reaches the door. Check with neighbours and look for a safe place or parcel locker note. If the parcel has not appeared after two business days, report it through the order page and we will start a lost parcel claim with the carrier. Claims are usually resolved within ten business days.",,
KB005,shipping,Changing the delivery address after ordering,"You can change the delivery address from the order page as long as the order has not yet been packed. Once the warehouse prints a label the address is locked and we cannot edit it. If the order has already shipped, most carriers let the recipient redirect the parcel using the tracking number on the carrier website.",,
KB006,shipping,Expedited and next day delivery,"Expedited delivery arrives in two business days and next day delivery arrives the following business day for orders placed before 2 PM. Both options are shown at checkout with their price. Next day delivery is not available for oversized items, for addresses outside the mainland, or on public holidays.",,
KB007,shipping,Shipping costs and free shipping threshold,Standard shipping is free on orders over fifty dollars. Below that the flat rate is four dollars and ninety five cents. The free shipping threshold is calculated on the order total after discounts and before tax. Expedited and next day delivery are charged separately and are never included in the free shipping offer.,,
KB008,shipping,Split shipments,Large orders are sometimes split across several parcels so that in stock items are not delayed by a backordered one. Each parcel gets its own tracking number and its own shipping confirmation email. You are only charged shipping once no matter how many parcels the order becomes.,,
KB009,returns,How do I return an item?,"Start a return from the order page in your account within thirty days of delivery. Print the prepaid return label, pack the item in its original packaging, and drop it at any carrier location. Refunds are issued once the warehouse inspects the item, which usually takes three to five business days after it arrives.",,
KB010,returns,What can I not return?,"Personalised items, gift cards, opened software, and perishable goods cannot be returned. Underwear and swimwear can only be returned with the hygiene seal intact. Items marked final sale on the product page are not eligible for a return or an exchange. Everything else is returnable within thirty days of delivery.",,
KB011,returns,Exchanging for a different size,We do not process direct exchanges. Return the item you have for a refund and place a new order for the size you want. Placing the new order right away is the fastest route because popular sizes sell out while a return is in transit. Both the refund and the new order appear separately on your statement.,,
KB012,returns,Return shipping costs,Return shipping is free when you use the prepaid label from the order page. If you post the item back yourself we cannot reimburse the postage and we cannot investigate a parcel that was not sent on our label. Returns from outside the country are charged a flat handling fee that is deducted from the refund.,,
KB013,returns,My item arrived damaged,"Photograph the damage and the outer packaging before you throw anything away, then report it from the order page within seven days of delivery. Damaged items are replaced at no cost, or refunded in full if a replacement is out of stock. You do not need to return a damaged item unless we specifically ask for it.",,
KB014,returns,When will my refund appear?,"Refunds are issued to the original payment method once the warehouse inspects the returned item. The refund leaves us within one business day of inspection, and the bank then takes a further three to five business days to post it to your statement. Refunds to a credit card can take one full billing cycle to appear.",,
KB015,returns,Returning a gift,"A gift can be returned with the gift receipt number printed on the packing slip. Gift returns are refunded as store credit to the recipient rather than to the purchaser's card, so the buyer is never notified. Store credit does not expire and can be combined with other payment methods at checkout.",,
KB016,payments,Which payment methods do you accept?,"We accept Visa, Mastercard, and American Express, plus PayPal, Apple Pay, and Google Pay. Store credit and gift cards can be combined with any card at checkout. We do not accept cheques, bank transfers, or cash on delivery for online orders.",,
KB017,payments,My card was declined,"A decline is nearly always a decision made by your bank rather than by us. Check that the billing address matches your statement exactly, that the card has not expired, and that the card is enabled for online purchases. If it still declines, call the number on the back of the card. Repeated attempts can trigger a temporary block on the card.",,
KB018,payments,Why do I see a pending charge for an order I cancelled?,"When you place an order we ask your bank to authorise the amount, which shows on your statement as a pending charge. Cancelling releases the authorisation, but banks can take up to five business days to drop the pending line. No money leaves your account for a cancelled order even while the pending charge is visible.",,
KB019,payments,When am I actually charged?,"The card is authorised when you place the order and captured when the parcel ships. For a split shipment each parcel is captured separately, so one order can produce several smaller charges on your statement that add up to the order total. Backordered items are only captured when they ship.",,
KB020,payments,Using a promotional code,"Enter the promotional code in the box at checkout before you pay. Only one promotional code can be applied per order and codes cannot be applied after the order is placed. Codes have an expiry date and some exclude sale items, which is stated in the terms shown with the code.",,
KB021,payments,Sales tax and duties,"Sales tax is calculated at checkout from the delivery address and is shown before you confirm the order. International orders may also attract import duty, which is charged by the destination country when the parcel clears customs and is not collected by us.",,
