ticket_id,channel,subject,body
T-20001,webform,Double charged,"Hello Northwind, Can I get an itemized receiptt or invoice for order W-48783 - I need it for taxes. Thanks in advance."
T-20002,email,Care instructions,"Hey, Can the Voltpack 20K power bank charge the Aurora camp lantern over USB. This is for an upcoming canoe trip."
T-20003,email,Need assistance,I want to return the Cascade 20 sleeping bag I bought with the SUMMER20 promo code - do I get the full price or the discounted price back. The order had the Cirrus trekking poles and some smaller items in it. Thank you. — Avery Okafor
T-20004,email,Problem with my order,"Good morning, What fuel does the Ember camp stove take and can I fly with the canister. there is a charge from northwind on my statement for $58.99 that i do not recognize. my account shows an order i already cancelled and the charge is still pending on my card. I tried calling but the wait time was over 20 minutes. Thanks. — Kai Patel"
T-20005,chat,Delivery problem,my order NW-61320 was placed five days ago and the tracking still says label created. I paid with the card ending 8510?
T-20006,chat,Question,my exchange shipped but tracking says it is going back toy ou instead of to me. I have bene a customer for three seasons and this is the first problem I have had
T-20007,webform,Exchange needed,"Hey, How do I get a return sshipping label for order NW-56887. The package was a gift for a friend. Hope you can help."
T-20008,email,Help,"Hello, Can I change the delivery address on order NW-59022 before it ships. what fuel does the ember camp stove take and can i fly with the canister. Thanks. — Kai Haddad"
T-20009,email,Problem with my order,"Hello, My return was received four days ago but the refund of $312.50 still is not back on my card. I already looked through the help center and could not find an answer. Thanks in advance. — Morgan Okafor"
T-20010,webform,Return request,"Hello, The pole on my Ridgeline 2P tent tore after two uses - I want to make a warranty claim. i was charged sales tax on order nw-46932 but my state does not tax clothing. there is a charge from northwind on my statement for $58.99 that i do not recognize. I have been a customer for years and this is the first problem I have had. Thanks."
T-20011,email,Urgent,"Hello Northwind, My refund was approved but the replacement Trailhead trail runners still has no tracking number. I placed the order about ten days ago. Appreciate it. — Sam Haddad"
T-20012,email,Promo code problem,"Hello, My gift card balance shows $58.99 but checkout would not let me use it. i cannot open the tracking link for my order without signing in and the sign in page just loops. Please advise."
T-20013,email,Question,"Hey, My exchange hipped but tracking says it is going back to you inseta of to me. The package was a gift for my partner. Thanks in advance."
T-20014,webform,Support request,"Hi, Please cancel my Trail Club membership - I am still being billed $12.99 a month. The order had the Trailhead trail runners and some smaller items in it. Appreciate it."
T-20015,email,Account security concern,"Good morning, When I log in my order history shows someone else's orders and charges. the invoice in the box lists a cascade 0 sleeping bag that is not what i was charged for online - which one is actually shipping to me. Thanks in advance. — Devon Whitfield"
T-20016,webform,Refund not received,"Hi, I was charged twice for order NW-78457 - there are two $118.95 charges on my card. I tried calling but the wait time was over 30 minutes. Thanks in advance."
T-20017,email,Where is my order,"Hey, My package arrived with the box torn open and the Windbreak fleece inside looks damaged. I tried calling but the wait time was over 30 minutes. Thanks. — Kai Ortiz"
T-20018,webform,2FAA problem,"Hey, How do I change the email address on my account - I no longer hav eaccess to the old one. I need this sotre before Friday. Appreciate it."
T-20019,email,Need assistance,Please cancel the exchange on order NW-58085 - I just want my money back on the return instead. I tried calling but the wait time was over 30 minutes. Please advise.
T-20020,email,Warranty claim,I am past the 30 day window but the Ember camp stove has a manufacturing defect - does the warranty cover it. I tried calling but the wait time was over 30 minutes.
T-20021,email,Support request,"Hello, Only half of order NW-48332 showed up - the Firefly bug net is missing from the box. the aurora camp lantern showed up scratched straight out of the box and i want a replacement. i am past the 30 day window but the cascade 20 sleeping bag has a manufacturing defect - does the warranty cover it. Thanks. — Skyler Patel"
T-20022,chat,Help,can you hold the shipment at a DHL pickup point instead of delivering to my door. i was charged twice for order nw-53961 - there are two $249.95 charges on my card?
T-20023,webform,2FA problem,The verification link in the signup email says it has expired. Appreciate it.
T-20024,webform,Charge I do not recognize,"Hello, Please cancel my Trail Club membership - I am still being billed $12.99 a month. This ns for an upcoming canoe trip. Appreciate it."
T-20025,webform,Urgent,"Hey, I was charged sales tax on order NW-75719 but my state does not tax clothing. I tried calling but the wait time was over 20 minutes. Appreciate it."
T-20026,webform,Help,"Hi there, My exchange shipped but tracking says it is going back to you instead of to me. I placed the order during the sale. Thanks."
