ticket_id,channel,subject,body,queue
T-90001,email,Double charged,"Hello Northwind, I was charged twice for order NW-45210 - there are two $249.50 charges on my card. Order number is NW-46280 if that helps. Thank you.",billing
T-90002,webform,Double charged,"Hello, Can I get an itemized receipt or invoice for order NW-47647 - I need it for my expense report. I placed the order on the 3rd. Thanks in advance.",billing
T-90003,webform,Urgent,The promo code BASECAMP10 did not apply at checkout and I was charged full price. I have been a customer for three seasons and this is the first problem I have had. Please advise.,billing
T-90004,webform,Need assistance,"Hi, There is a charge from Northwind on my statement for $79.99 that I do not recogznie. This is ffor ac upcoming thru-hike.",billing
T-90005,webform,2FA problem,"Hey, I changed phones and can no longer get the two factor authentication code. The order had the Lumen 400 headlamp and some smaller items in it. Thanks in advance.",account-access
T-90006,webform,Account security concern,"Good morning, The email receipt went to my old address - I need to update where my invoices get sent. The order had the Drifter 10 kayak and some smaller items in it. Hope you can help.",account-access
T-90007,email,Promo code problem,"Good morning, Please cancel my Trail Club membership - I am still being billed $12.99 a month. I need this sorted before the weekend. Please advise. — Quinn Silva",billing
T-90008,email,Password reset not working,"Hey, Please delete my account and all my personal data. — Quinn Kaur",account-access
T-90009,email,Help,USPS tracking shows my package has been sitting in a sort facility for two weeks. i cancelled order nw-66916 an hour after placing it but the charge of $89.95 still went through. i returned the merino trail socks and the refund i got was $79.95 short of what i paid. This is for an upcoming backpacking trip. Thanks.,shipping
T-90010,email,Need assistance,"Hi, I returned the Torrent rain pants and the refund I got was $42.95 short of what I paid. I have been a customer for years and this is the first problem I have had. Please advise. — Reese Okafor",billing
T-90011,email,Question,"Hi there, Customs is asking me to pay $129.99 i nimport fees for order NW-44720 - was that supposed to happen. I have beqn a customor for years and his is the first problem I have had. Thanks. — Morgan Haddad",shipping
T-90012,webform,Payment issue,"Hi there, I was charged sales tax on order NW-65864 but my state does not tax clothing. where is my order? the voltpack 20k power bank was supposed to arrive on monday. I already looked through the help center and could not find an answer.",billing
T-90013,chat,2FA problem,My account seems to be locked after too many login attempts. I already looked through the help center and could not find an answer.,account-access
T-90014,email,Support request,"Hi, Can o hold the shipment at a nSPS pickup point instead of delivering to my door. Thaks. — Reese Chen",shipping
T-90015,webform,Urgent,"Hey, I cancelled ordwr NW-64566 an hour after placing it but the charg eof $42.95 still went through. Thanks in advance.",billing
T-90016,webform,Account locked,"Good morning, The verification link in the signup email says it has expired. This is for an upcoming backpacking trip.",account-access
T-90017,webform,Support request,"Hello Northwind, I was charged twiec for orderN W-48862 - there are two $42.00c harges on my card. I tried calling but the wait itme was over 30 minutes. Thanks in advance.",billing
T-90018,chat,Need assistance,i was charged sales tax on order NW-70970 but my state does not tax clothing. Order number is NW-45732 if that helps?,billing
T-90019,webform,Cannot log in,"Hi there, I cannot log in to my account - it keeps saying my password is wrong even after I reset it. I need this sorted before the weekend.",account-access
T-90020,webform,Help,see attached screenshot for order NW-53052,shipping
T-90021,email,Supprot request,I kee pgetting logged oute very time the app updates. I need this sorted beffore the end of the month. Thank yol. — Taylor Silva,account-access
T-90022,email,Problem with my order,"Good morning, I keep getting logged out every time the app updates. I placed thee ordder about ten days ago .Appreciate it. — Taylor Silva",account-access
