query_id,doc_id,relevance
Q01,NW0001,2
Q01,NW0002,2
Q01,NW0003,1
Q01,NW0007,2
Q01,NW0012,1
Q02,NW0003,2
Q02,NW0014,1
Q02,NW0063,1
Q03,NW0004,2
Q03,NW0009,1
Q03,NW0012,1
Q03,NW0013,1
Q04,NW0001,1
Q04,NW0005,2
Q04,NW0100,1
Q04,NW0125,1
Q05,NW0010,1
Q05,NW0023,2
Q05,NW0031,1
Q06,NW0019,2
Q06,NW0028,1
Q06,NW0047,1
Q07,NW0021,2
Q07,NW0034,1
Q07,NW0038,1
Q08,NW0016,1
Q08,NW0017,2
Q08,NW0126,1
Q09,NW0030,2
Q09,NW0032,1
Q09,NW0033,1
Q10,NW0040,1
Q10,NW0041,2
Q10,NW0048,1
Q11,NW0013,1
Q11,NW0042,2
Q11,NW0052,1
Q12,NW0040,2
Q12,NW0105,1
Q12,NW0127,2
Q13,NW0043,2
Q13,NW0044,1
Q13,NW0045,1
Q14,NW0054,2
Q14,NW0057,1
Q14,NW0061,1
Q15,NW0054,1
Q15,NW0055,2
Q15,NW0065,1
Q16,NW0058,2
Q16,NW0059,1
Q16,NW0062,1
Q17,NW0066,1
Q17,NW0068,1
Q17,NW0070,2
Q18,NW0068,1
Q18,NW0069,2
Q18,NW0077,1
Q19,NW0078,2
Q19,NW0080,1
Q19,NW0090,1
Q20,NW0079,2
Q20,NW0080,1
Q20,NW0088,1
Q21,NW0091,1
Q21,NW0092,1
Q21,NW0095,1
Q21,NW0097,2
Q21,NW0128,1
Q22,NW0085,1
Q22,NW0088,1
Q22,NW0098,2
Q22,NW0102,1
Q23,NW0103,2
Q23,NW0104,1
Q23,NW0105,1
Q24,NW0107,2
Q24,NW0110,1
Q24,NW0113,1
Q25,NW0091,1
Q25,NW0092,2
Q25,NW0093,1
Q25,NW0099,1
Q25,NW0128,1
Q26,NW0054,1
Q26,NW0114,1
Q26,NW0115,2
Q27,NW0092,1
Q27,NW0094,2
Q27,NW0095,1
Q28,NW0076,1
Q28,NW0083,2
Q28,NW0090,1
