doc_id,category,title,text
NW0001,returns-refunds,Standard return window,"Most items bought from Northwind Outfitters can be returned within sixty days of the delivery date for a full refund to the original payment method. The item must be unworn, unwashed, and carry its original hang tags. Start the return from the Orders page of your account; we will email a prepaid label within one business day."
NW0002,returns-refunds,How to start a return online,"Sign in, open Orders, choose the order, and select Return items. Pick the products you are sending back, choose a reason from the drop-down, and confirm. A prepaid return label and a QR code arrive by email. You can either print the label or show the QR code at any partner drop-off counter, where the staff print it for you."
NW0003,returns-refunds,Return shipping cost,"Return shipping is free for members of the Trailhead loyalty programme and for any return caused by our error, such as a wrong item or a manufacturing fault. For all other returns we deduct a flat return shipping fee of $6.95 from the refund. The fee is shown on the return confirmation screen before you commit."
NW0004,returns-refunds,When your refund appears,"We issue the refund within two business days of the returned parcel arriving at our Reno warehouse. After that the timing belongs to your bank. Card refunds typically post in three to five business days, though some issuers take a full billing cycle. PayPal and store credit are usually instant. If ten business days have passed since our refund confirmation email and nothing has posted, contact us with the order number and we will send the acquirer reference number your bank needs to trace it."
NW0005,returns-refunds,Final sale and clearance items,"Products marked Final Sale on the product page cannot be returned or exchanged. This covers clearance stock, opened nutrition and fuel, and anything customised with embroidery. The Final Sale badge appears in the cart and again on the checkout review screen."
NW0006,returns-refunds,Returning a gift,"If you received the item as a gift, use the gift receipt number printed on the packing slip instead of an order number. Gift returns are refunded as store credit to the recipient so that the original purchaser is never notified of the amount."
NW0007,returns-refunds,Exchanging for a different size,"We do not process direct size swaps. Return the item you have and place a new order for the size you want. Placing the new order immediately is safer than waiting, because popular sizes sell out while a return is in transit. Both transactions appear separately on your statement."
NW0008,returns-refunds,Returning worn footwear,"Boots and shoes may be returned within sixty days even if you have worn them outdoors, provided the wear is consistent with trying them out rather than a season of use. Clean off loose mud before packing. Include the original box; footwear returned without its box is refunded at ninety percent."
NW0009,returns-refunds,Refund to an expired card,"A refund is always sent back to the card used for the purchase. If that card has expired or been reissued, the issuing bank normally routes the money to the replacement account automatically. When the account is closed entirely the bank returns the funds to us after seven to ten days and we then issue store credit."
NW0010,returns-refunds,Missing or damaged item in your parcel,"Report a short-shipped or damaged item within fourteen days of delivery. Photograph the outer carton, the packing slip, and the damage itself. We replace the item at no charge and do not ask you to send the damaged goods back unless the value exceeds $250."
